file,annotations,avg_confidence,sast_risks,ml_signals,best_practices,high_severity,medium_severity,low_severity
setup,9,0.8333,0,0,0,0,0,1
setup,16,0.7188,0,0,0,0,0,4
setup,22,0.6818,0,0,0,0,2,5
test_unittest,9,0.8333,0,0,0,0,1,0
setup,3,0.6667,0,0,0,0,0,1
finta,578,0.737,0,0,0,0,0,66
utils,19,0.7105,0,0,0,0,0,3
__init__,1,1.0,0,0,0,0,0,0
test_reg,119,0.7101,0,0,0,0,1,20
test_unit,530,0.6679,0,0,0,0,2,204
test_utils_unit,38,0.6711,0,0,0,0,5,7
conf,15,0.9333,0,0,0,0,0,3
run_all_model,101,0.698,0,0,0,3,5,26
workflow_by_code,15,0.9667,0,0,0,0,0,1
config,127,0.7953,0,0,0,2,5,24
constant,5,1.0,0,0,0,0,0,0
log,78,0.6474,0,0,0,0,2,9
typehint,12,0.7083,0,0,0,0,0,1
__init__,46,0.837,0,0,0,0,5,18
check_data_health,44,0.6591,0,0,0,0,0,10
check_dump_bin,42,0.7262,0,0,0,0,0,3
collect_info,16,0.75,0,0,0,0,1,4
dump_bin,159,0.7138,0,0,0,0,1,24
dump_pit,74,0.6351,0,0,0,0,1,5
get_data,4,0.75,0,0,0,0,0,1
conftest,6,0.6667,0,0,0,0,0,0
test_all_pipeline,53,0.7075,0,0,0,0,2,3
test_contrib_model,8,0.6875,0,0,0,0,0,0
test_contrib_workflow,44,0.6932,0,0,0,0,1,1
test_dump_data,40,0.7125,0,0,0,1,0,3
test_get_data,27,0.6111,0,0,0,2,0,2
test_pit,62,0.6452,0,0,0,1,0,6
test_register_ops,38,0.5921,0,0,0,0,0,3
test_structured_cov_estimator,41,0.8293,0,0,0,0,0,1
test_workflow,12,0.625,0,0,0,0,1,1
data_cache_demo,7,0.5,0,0,0,0,2,3
data_mem_resuse_demo,11,0.6818,0,0,0,0,0,1
highfreq_handler,35,0.8286,0,0,0,0,0,2
highfreq_ops,42,0.7738,0,0,0,0,0,1
highfreq_processor,23,0.6304,0,0,0,0,0,1
workflow,50,0.86,0,0,0,0,0,7
feature,8,0.75,0,0,0,0,0,1
task_manager_rolling,47,0.6383,0,0,0,0,0,5
workflow,60,0.6417,0,0,0,0,1,9
online_management_simulate,25,0.76,0,0,0,0,1,3
rolling_online_management,59,0.7119,0,0,0,0,4,6
update_online_pred,19,0.8158,0,0,0,0,0,3
create_dataset,96,0.7188,0,0,0,13,5,15
example,130,0.7192,0,0,0,0,0,30
prepare_riskdata,15,0.6333,0,0,0,0,0,6
rolling_handler,10,0.8,0,0,0,0,0,1
workflow,32,0.625,0,0,0,0,3,1
features_resample_N,10,0.65,0,0,0,0,0,1
features_sample,10,0.7,0,0,0,0,0,1
multi_freq_handler,16,0.6562,0,0,0,0,0,2
tft,77,0.6753,0,0,0,0,4,10
example,13,0.8077,0,0,0,0,0,2
base,54,0.713,0,0,0,0,0,5
qlib_Alpha158,49,0.6939,0,0,0,0,0,4
configs,14,0.8214,0,0,0,0,1,3
hyperparam_opt,112,0.7098,0,0,0,1,1,23
tft_model,3,0.5,0,0,0,0,0,0
utils,52,0.7692,0,0,0,0,2,10
dataset,79,0.7468,0,0,0,0,1,13
model,144,0.7569,0,0,0,0,2,26
rolling_benchmark,14,0.8929,0,0,0,0,0,1
vis_data,26,0.6731,0,0,0,0,2,1
workflow,16,0.8438,0,0,0,0,0,3
hyperparameter_158,22,0.7273,0,0,0,0,4,2
hyperparameter_360,13,0.5769,0,0,0,0,0,2
gen_pickle_data,9,0.7222,0,0,0,0,1,1
gen_training_orders,21,0.6905,0,0,0,0,13,1
